msg.timestamp,msg.id,msg.type,sensor.cmd,sensor.task,sensor.rank,sensor.pid,sensor.tid,sensor.value
1689283346.042802,8aa0fce8-1c77-4a1a-a3d8-674b115b2a7e,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,4
1689283346.1492717,f87d39c7-0b28-49bf-ace8-ef77a2b7953e,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283346.2547474,bb435e75-8efb-4548-8ed5-f23ba7e71c04,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283346.3611581,b167ba1b-6cda-43fa-8906-d6574973a7f1,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283346.4715297,5b6bbf30-67bd-4efb-8950-26bd191de23b,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283346.5781686,9106a734-446a-4365-8891-6a20a8a42a93,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283346.6846287,b385262e-f8f8-4854-a773-9e077559d804,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283346.7911258,8ac12fb9-0316-4151-8b04-4a6c46f13e7b,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283346.8988678,bc2f0b2e-1e33-47be-9424-40b672c120d6,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283347.012295,92dedda8-26fe-457d-8195-7556d0683c85,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283347.1182566,ba5995c6-1727-4684-8a57-739fd318e847,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283347.224795,a4e3ad22-e2d0-4cc9-9d15-b5526934c9b0,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283347.3283246,6dd051c6-f71b-4391-ad6f-fdebba72b41f,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,4
1689283347.4338782,5ff06fa8-49f2-47e8-8d65-f789f813186a,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283347.5403254,34e230e6-2426-4c10-bf47-07638ae989c3,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283347.646346,29793e29-eb2d-46eb-8a9a-c6b5fefb905a,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283347.7576911,3cfee3e0-f775-43d5-95cb-55be6fa25d3f,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283347.8706353,7d66602a-4e1b-4f38-b951-f3f190cdabc6,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283347.9790313,ca76a9ef-9a7f-4c01-a03a-c0108aa16382,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283348.086559,3e0323e9-8674-47a1-a490-983e2acce0c8,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283348.193204,88a558e4-08a1-4591-9578-04352b869b15,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283348.2989042,0a07bbc4-d8dd-4c6a-9244-bea425823bc0,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283348.4097037,d84024f6-2aeb-4835-9473-65c3937fe5b9,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283348.5163772,ac491936-d93d-46e4-aeb8-417c9a750843,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283348.6222093,127dfd9b-f5dc-463b-85c1-6b6e3a0ad89e,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283348.7251332,b8bf9ebb-0cf0-4ab6-bf8b-e285c7edf4bf,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,4
1689283348.8305929,cf4e9466-1f82-4d3e-91f1-5d1a948d2504,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283348.9371383,694a6161-c4ca-46cb-8110-6275c0d37fc8,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283349.0522513,bc4b00b5-ae36-4678-b470-77f16fcb6f0b,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283349.1581054,d2450394-eb84-40cb-939e-bdae9599cdd1,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283349.264762,78528e4d-33e9-4b1d-bdd4-5a8ece37d0a5,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283349.370472,ff911bbc-6262-43a4-8a9d-d9db431537e1,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283349.4816499,a63de460-2c99-4d9e-9cbc-97b68c97ceb4,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283349.588527,a43acb58-e20b-464c-92a0-d6da1ea63e9c,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283349.6944275,583f01c4-3e2f-4d09-8eb2-feab95bf47bf,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283349.8015459,42c7b2ad-3937-4005-bafd-00b58872a446,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283349.913921,f92f2f76-97f1-480e-b94c-6389d04f3220,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283350.0236483,a32201fc-92e7-4b7b-9087-451c6b6851f9,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283350.1299727,4f2540e1-8a21-4fb3-b797-3e4a7f3e4a62,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283350.2366087,5b758ae8-9e4e-4378-9c20-3621c198353b,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283350.3503447,e9d63aaf-c221-4957-8ec6-4ffa1ae4f415,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283350.4578393,b86273f8-c73a-4a41-b638-015e1fbec986,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
1689283350.5647058,a87a30f3-d8ea-4325-b7ed-d599758884b7,pubProgress,58f9f860-21c3-11ee-8001-246e967e28e8,ones-stream-full,0,196532,0,5
