timestamp,median,pcap,value0,value1
0.39438843727111816,0.0,,74.42957894568801,76.33628769641918
1.3982224464416504,147.36405543885633,120.0,99.26217880645513,100.78830663236998
2.395648956298828,148.17426171051324,120.0,113.41545832813866,113.44972650873676
3.399534225463867,155.43255993586706,120.0,113.09330595969986,113.0253320722325
4.399408578872681,157.49175582207783,120.0,113.56308994932402,113.60618637948832
5.404178142547607,149.01821734689346,79.0,100.71685677241484,101.23331240814096
6.396207571029663,115.44723846310879,79.0,70.45587718306105,72.23223911996072
7.4051244258880615,114.61442379940313,79.0,71.96908863661294,74.93942118132624
8.396311521530151,106.36949735559521,79.0,68.68652030342992,70.35096404613974
9.396337985992432,106.8238784765264,79.0,69.5366752781209,72.25217331740859
10.408997535705566,108.46665524800025,110.0,76.53156070722089,80.0987577759346
11.39603304862976,161.86209871106288,110.0,103.83733107876624,103.18421171275013
12.395634651184082,161.34829564945053,110.0,103.84266434107606,104.46064645245208
13.396238088607788,159.3221300191225,110.0,104.62076252499467,105.17273454788388
14.396394491195679,155.34351381819107,110.0,103.06667506536502,101.77922155182526
15.395381927490234,93.69145267070533,75.0,87.65804877437793,85.51501495263982
16.394354581832886,31.25436117893173,75.0,60.21998603567015,56.75085450299922
17.395612239837646,31.253226119797617,75.0,60.57563299758255,57.349718391698936
18.421868801116943,115.03171382908451,75.0,69.6991794936277,68.24695677931766
19.3961501121521,115.64804441033607,75.0,70.29033146229726,68.77861603104903
20.403680324554443,114.73342745714447,72.0,69.39819424778058,67.94642344485732
21.43183469772339,115.20597687257946,72.0,67.6347834882645,67.79975480338666
22.396371841430664,114.76361248426697,72.0,68.01510568928394,66.03902752330018
23.39519190788269,96.53395935464567,72.0,63.57803307902667,61.33851945295421
24.396161556243896,115.17671369237634,72.0,67.12176544840716,66.19389501878278
25.39585256576538,110.14535139273262,96.0,73.91113854180085,72.93732863455095
26.406888723373413,142.92735547479492,96.0,88.26811501565886,88.03533404464753
