msg.timestamp,msg.id,msg.type,sensor.cmd,sensor.task,sensor.rank,sensor.pid,sensor.tid,sensor.value
1686925987.3391416,a591430b-c9fb-45f3-878d-82a8b5cad1fc,pubProgress,b4c79c07-0c52-11ee-8001-246e967e294e,ones-solvers-bicgstab,0,3181417,0,5
1686925987.4414084,51f9f2da-8485-4f7c-ae53-d4bd69ff2332,pubProgress,b4c79c07-0c52-11ee-8001-246e967e294e,ones-solvers-bicgstab,0,3181417,0,4
1686925987.5465932,0d4b7cdb-e8d1-46f4-9886-09cba5d34c23,pubProgress,b4c79c07-0c52-11ee-8001-246e967e294e,ones-solvers-bicgstab,0,3181417,0,4
1686925987.6553743,eb08a5e5-53a3-4bdd-944b-04c55a825d52,pubProgress,b4c79c07-0c52-11ee-8001-246e967e294e,ones-solvers-bicgstab,0,3181417,0,4
1686925987.7592826,1b65ea95-7a5c-4a84-ba22-92e3b58c789d,pubProgress,b4c79c07-0c52-11ee-8001-246e967e294e,ones-solvers-bicgstab,0,3181417,0,4
1686925987.8638144,1ddddf3a-f2f7-4c4c-a18e-4ee264a78b69,pubProgress,b4c79c07-0c52-11ee-8001-246e967e294e,ones-solvers-bicgstab,0,3181417,0,4
1686925987.9870586,1d459c51-15a7-4aba-9262-3f5554f3b803,pubProgress,b4c79c07-0c52-11ee-8001-246e967e294e,ones-solvers-bicgstab,0,3181417,0,2
1686925988.0937855,32a7206d-3bb8-4ea9-b515-72a41dc46e69,pubProgress,b4c79c07-0c52-11ee-8001-246e967e294e,ones-solvers-bicgstab,0,3181417,0,4
1686925988.4040105,4f73ab47-4e68-40b0-ac50-77ec0de73574,pubProgress,b4c79c07-0c52-11ee-8001-246e967e294e,ones-solvers-bicgstab,0,3181417,0,7
1686925988.5059311,f8963f37-b539-459b-9c10-d2db5e3e9913,pubProgress,b4c79c07-0c52-11ee-8001-246e967e294e,ones-solvers-bicgstab,0,3181417,0,6
1686925988.6095903,db959552-5632-41a4-9bd4-ecd68c8acd16,pubProgress,b4c79c07-0c52-11ee-8001-246e967e294e,ones-solvers-bicgstab,0,3181417,0,7
1686925988.7125785,27c3ad73-1646-46f5-b283-63263c099e6e,pubProgress,b4c79c07-0c52-11ee-8001-246e967e294e,ones-solvers-bicgstab,0,3181417,0,7
1686925988.8262093,2189a1b0-c1b8-4087-bb93-9e86e5f091ee,pubProgress,b4c79c07-0c52-11ee-8001-246e967e294e,ones-solvers-bicgstab,0,3181417,0,7
1686925988.9319346,82b7fdfe-31b2-434d-975a-31b8ce32329d,pubProgress,b4c79c07-0c52-11ee-8001-246e967e294e,ones-solvers-bicgstab,0,3181417,0,7
1686925989.038378,ff3d8447-9ef4-4e4e-8abc-6064a32593b2,pubProgress,b4c79c07-0c52-11ee-8001-246e967e294e,ones-solvers-bicgstab,0,3181417,0,7
1686925989.149044,f87702f9-a0e6-465a-bed9-11acecdc6e49,pubProgress,b4c79c07-0c52-11ee-8001-246e967e294e,ones-solvers-bicgstab,0,3181417,0,7
1686925989.49409,9719654c-3409-4ca4-b41f-3d23e9dc6948,pubProgress,b4c79c07-0c52-11ee-8001-246e967e294e,ones-solvers-bicgstab,0,3181417,0,9
